iter	Passed	Remaining
0	4	430
1	8	404
2	11	387
3	15	369
4	19	363
5	22	355
6	26	351
7	28	333
8	30	310
9	32	291
10	34	275
11	35	260
12	37	248
13	38	236
14	40	227
15	41	218
16	43	210
17	44	203
18	46	196
19	47	190
20	49	184
21	50	179
22	52	174
23	53	169
24	54	164
25	56	161
26	58	157
27	59	153
28	60	149
29	62	145
30	63	142
31	65	138
32	66	135
33	68	132
34	69	129
35	71	126
36	72	123
37	73	120
38	75	117
39	76	115
40	78	112
41	78	108
42	80	106
43	81	103
44	82	101
45	84	99
46	85	96
47	87	94
48	88	92
49	90	90
50	91	87
51	92	85
52	94	83
53	95	81
54	96	79
55	97	76
56	99	74
57	100	72
58	102	71
59	103	69
60	104	67
61	106	65
62	107	63
63	109	61
64	110	59
65	112	57
66	113	55
67	115	54
68	116	52
69	117	50
70	119	48
71	120	46
72	121	45
73	123	43
74	124	41
75	126	39
76	127	38
77	129	36
78	131	34
79	132	33
80	134	31
81	135	29
82	136	28
83	138	26
84	139	24
85	141	22
86	142	21
87	144	19
88	145	17
89	146	16
90	148	14
91	149	13
92	150	11
93	152	9
94	153	8
95	155	6
96	156	4
97	157	3
98	159	1
99	160	0
